DATE,LEU0252919100Q
2000-01-01,825
2000-04-01,811
2000-07-01,826
2000-10-01,840
2001-01-01,854
2001-04-01,846
2001-07-01,868
2001-10-01,863
2002-01-01,881
2002-04-01,868
2002-07-01,888
2002-10-01,869
2003-01-01,903
2003-04-01,902
2003-07-01,892
2003-10-01,901
2004-01-01,926
2004-04-01,902
2004-07-01,908
2004-10-01,925
2005-01-01,931
2005-04-01,920
2005-07-01,941
2005-10-01,958
2006-01-01,933
2006-04-01,968
2006-07-01,979
2006-10-01,966
2007-01-01,956
2007-04-01,1014
2007-07-01,993
2007-10-01,994
2008-01-01,1012
2008-04-01,999
2008-07-01,1020
2008-10-01,1016
2009-01-01,1024
2009-04-01,1031
2009-07-01,1026
2009-10-01,1020
2010-01-01,1024
2010-04-01,1032
2010-07-01,1044
2010-10-01,1049
2011-01-01,1054
2011-04-01,1043
2011-07-01,1047
2011-10-01,1071
2012-01-01,1051
2012-04-01,1070
2012-07-01,1071
2012-10-01,1071
2013-01-01,1095
2013-04-01,1101
2013-07-01,1101
2013-10-01,1131
2014-01-01,1102
2014-04-01,1098
2014-07-01,1068
2014-10-01,1131
2015-01-01,1134
2015-04-01,1130
2015-07-01,1143
2015-10-01,1143
2016-01-01,1155
2016-04-01,1155
2016-07-01,1152
2016-10-01,1161
2017-01-01,1179
2017-04-01,1189
2017-07-01,1164
2017-10-01,1170
2018-01-01,1169
2018-04-01,1187
2018-07-01,1232
2018-10-01,1205
2019-01-01,1213
2019-04-01,1236
2019-07-01,1281
2019-10-01,1259
2020-01-01,1263
2020-04-01,1303
2020-07-01,1355
2020-10-01,1283
2021-01-01,1296
2021-04-01,1314
2021-07-01,1358
2021-10-01,1351
2022-01-01,1395
2022-04-01,1441
2022-07-01,1452
2022-10-01,1435
2023-01-01,1488
2023-04-01,1467
2023-07-01,1499
